37.6343549	127.0585005	2	
37.5142591	127.0997330	7	
37.5793852	127.0432358	6	
36.3243360	127.4191391	2	
36.3252646	127.4202790	1	
36.3249208	127.4194408	3	
36.3252148	127.4198965	4	
36.3194049	127.4489193	1	
36.3197024	127.4482928	2	
36.3200126	127.4485169	3	
36.3197113	127.4491260	4	
36.3171273	127.4583611	3	
36.3172315	127.4589885	4	
36.3167557	127.4584831	2	
36.3168361	127.4592376	1	
36.3922165	127.3149000	6	
36.3923881	127.3141303	4	
36.3924901	127.3147505	5	
37.5544087	127.3100886	2	
35.8511357	128.5904694	4	
35.8507926	128.5904607	1	
35.8511650	128.5907395	3	
35.8508571	128.5907465	2	
37.5699147	126.9823785	6	
37.5697980	126.9825908	5	
37.5643754	127.0078097	4	
37.8185746	127.0567683	2	
35.2811515	129.0170538	1	
35.2663879	129.0167957	3	
35.2661795	129.0162673	2	
35.2665385	129.0164704	4	
35.2660457	129.0166061	1	
35.2682616	129.0174237	5	
35.1718197	128.9487658	2	
35.2097044	129.0052606	1	
35.2104099	129.0056739	6	
35.2103339	129.0066096	9	
35.2101967	129.0049254	5	
35.2115869	129.0046064	7	
35.2105152	129.0053732	8	
35.2098689	129.0055637	2	
35.2100682	129.0057005	4	
35.2116481	129.0048827	10	
35.2098731	129.0049765	3	
35.2105398	129.0064608	12	
35.2231396	129.0089408	1	
35.2236466	129.0089435	3	
35.2234976	129.0094464	4	
35.2227141	129.0091330	2	
35.2385499	129.0881779	4	
35.2375841	129.0881195	1	
35.2376279	129.0883260	2	
35.2059875	129.0783563	3	
35.2196860	129.0861910	2	
35.2051021	129.0786406	2	
35.2050932	129.0783697	1	
35.2197624	129.0859784	1	
35.2059919	129.0786245	4	
35.2292268	129.0895096	2	
35.2303258	129.0893828	4	
35.2465598	129.0911062	1	
35.2303225	129.0891610	3	
35.2292444	129.0892681	1	
35.2208253	129.0868294	4	
35.2208911	129.0866148	3	
35.2130457	129.0799044	3	
35.2479549	129.0911980	3	
35.2121329	129.0795132	2	
35.2129672	129.0800727	4	
35.2122043	129.0793439	1	
35.2119243	129.0791525	5	
35.2385568	129.0879720	3	
35.2210072	129.0866792	5	
35.2465546	129.0913073	2	
35.2479471	129.0914204	4	
37.5824919	126.9504791	1	
37.5821669	126.9506480	2	
37.5820904	126.9503581	3	
37.5824007	126.9502078	4	
37.4849500	127.0334789	2	
37.4909151	127.0548783	1	
37.4912867	127.0557518	2	
37.4905510	127.0551199	4	
37.4841630	127.0339735	11	
37.4842698	127.0335599	12	
37.4847163	127.0333223	1	
37.4849787	127.0341766	3	
37.4848174	127.0345079	4	
37.4844476	127.0349493	5	
37.4840290	127.0348289	6	
37.4986340	127.0270249	10	
37.4987305	127.0274066	11	
37.4980500	127.0286275	1	
37.4971929	127.0281134	2	
37.4979952	127.0268964	9	
37.4965064	127.0533718	1	
37.4966628	127.0538558	2	
37.4966006	127.0539037	3	
37.4964397	127.0534114	4	
37.4960422	127.0526436	5	
37.4958292	127.0521489	6	
37.4961274	127.0518943	7	
37.4963270	127.0524811	8	
37.5557862	127.0432752	4	
37.5556416	127.0432940	4	
37.5558418	127.0438928	2	
37.5568265	127.0432722	1	
37.5661130	126.7425924	1	
37.5345476	126.9867760	3	
37.5346886	126.9861314	4	
37.5352731	126.9863819	1	
37.5356542	126.9866669	2	
37.5343898	126.9936964	4	
37.5344094	126.9941080	3	
37.5344990	126.9936553	1	
37.5345257	126.9941280	2	
37.5333335	126.9721181	3	
37.5335801	126.9718741	4	
37.5342091	126.9730498	2	
37.5344585	126.9726643	5	
37.5345940	126.9733951	1	
37.5348671	126.9730766	6	
37.5354653	126.9734293	7	
37.5353223	126.9748829	엘리베이터	삼각지(엘리베이터)
37.5353948	126.9748371	12	
37.5358665	126.9746839	11	
37.5361206	126.9737268	9	
37.5363668	126.9739036	10	
37.4940575	127.0155699	1	
37.4348357	126.6968371	2	
37.4354631	126.6974196	1	
37.5623164	127.0507239		
37.5318147	126.8465416	3	
37.5319245	126.8468599	2	
37.5324106	126.8461747	4	
37.5324893	126.8464416	1	
37.2462068	127.0568189	5	
37.2462132	127.0571193	6	
37.2460108	127.0576262	7	
37.2459819	127.0562611	4	
37.2454123	127.0563297	3	
37.2454461	127.0569850	2	
37.2455000	127.0587152	1	
37.2460520	127.0591916	8	
37.5064571	126.7531151	6	
37.5064486	126.7534312	7	
37.5061079	126.7525674	5	
37.5053082	126.7528636	3	
37.5052933	126.7532632	2	
37.5056018	126.7537085	1	
37.5060790	126.7537926	8	
37.7511695	126.7658404	2	
37.5055781	126.7526121	4	
37.5049584	126.7634771	4	
37.5048212	126.7645970	5	
37.5043318	126.7644950	1	
37.5046740	126.7618211	3	
37.5044395	126.7636421	2	
37.2858132	127.1119782	2	
37.5559420	126.9101031	2	
37.5559990	126.9102593	1	
37.5497901	126.9133750	9	
37.5487711	126.9136240	7	
37.5498936	126.9139171	10	
37.5494932	126.9141720	5	
37.5490428	126.9139953	6	
37.5494092	126.9129173	8	
37.5434208	126.9508707	8	
37.5480479	126.9413595	4	
37.4828975	126.9408021	4	
37.4984172	127.0285441	12	
37.4970955	127.0277165	7	
37.4975453	127.0270696	8	
37.5510084	126.9156807	2	
37.5507869	126.9159120	3	
37.5502054	126.9151530	4	
37.5505454	126.9149721	1	
37.5058063	127.0043201	8	
37.5062304	127.0045475	8-2	
37.5039136	127.0055463	2	
37.5038503	127.0053468	7	
37.5034175	127.0055123	3	
37.5027748	127.0034447	4	
37.5025322	127.0028201	5	
37.5059936	127.0055038	1	
37.5060148	127.0038235	8-1	
37.5026713	127.0027111	6	
37.5431096	126.7289661	1	
37.5431947	126.7269545	3	
37.5434097	126.7289782	6	
37.5434463	126.7281317	5	
37.5434975	126.7269839	4	
37.5446587	126.7385839	2	
37.5448804	126.7383607	3	
37.5450843	126.7389326	1	
37.5454082	126.7387926	4	
37.5713082	126.7363621	1	
37.5512235	126.8650643	2	
37.4797063	126.8820529	7	
37.4805629	126.8816696	9	
37.4802682	126.8836502	6	
37.4811040	126.8832955	4	
37.4808524	126.8838096	5	
37.4816781	126.8828370	2	
37.4053343	126.6810978	1	
37.5356469	126.9733882	8	
37.4044386	126.6801724	3	
37.4046811	126.6797789	4	
37.4056335	126.6806908	6	
37.4051907	126.6802885	5	
37.3934000	126.6349459	4	
37.3856214	126.6387757	2	
37.3934450	126.6334807	2	
37.3882844	126.6623664	1	
37.3873391	126.6629248	2	
37.3884948	126.6620467	4	
37.3879152	126.6614539	3	
37.2620192	127.0312976	7	
37.2624334	127.0297259	6	
37.2616094	127.0311582	4	
37.2610757	127.0313996	3	
37.2612857	127.0323427	1	
37.2616521	127.0327621	10	
37.2623223	127.0322596	9	
37.2624433	127.0319569	8	
37.2609695	127.0317903	2	
37.3824536	126.6567495	1	
37.5595146	126.9796431	7	
37.3659366	127.1077875	3	
37.3663960	127.1077861	4	
37.5676253	126.8159121	1	
37.5674573	126.8159148	8	
37.5436202	126.9526066	6	
37.4816822	126.9973454	3	
37.4811580	126.9976492	2	
37.4812042	126.9979338	1	
37.4817124	126.9977329	4	
37.5398067	126.9466327	3	
37.5392637	126.9457807	4	
37.5274728	126.9180224	4	
37.5288087	126.9163213	6	
37.5724796	126.9917508	8	
37.5726234	126.9917312	7	
37.5724985	126.9912018	3	
37.5726198	126.9911058	6	
37.5278498	126.9186104	3	
37.5286588	126.9178402	2	
37.5282738	126.9172199	5	
37.5125948	126.8659383	1	
37.5603972	126.9653686	3	
37.5602504	126.9655286	4	
37.5550490	126.9717005	1	
37.5549468	126.9727697	9-1	
37.5047215	127.0246287	3	
37.5634922	126.8011290	2	
37.5625739	126.8018222	3	
37.5615202	126.8008731	1	
37.5615840	126.8021015	4	
37.5634496	126.8102255	1	
37.5633196	126.8102895	4	
37.5640218	126.8108638	2	
37.5639415	126.8109768	3	
37.5678983	126.8164227	2	
37.5679015	126.8168333	3	
37.5670186	126.8164267	7	
37.5670283	126.8168129	6	
37.5675464	126.8180203	4	
37.5673527	126.8180184	5	
37.5669611	126.8266802	1	
37.5692052	126.8413400	2	
37.5690018	126.8414750	3	
37.5688446	126.8407193	1	
37.5686203	126.8407975	8	
37.5679464	126.8410005	7	
37.5680432	126.8413271	6	
37.5680908	126.8417929	5	
37.5682101	126.8418933	4	
37.5612394	126.8545040	9	
37.5614806	126.8546757	2	
37.5615522	126.8552066	3	
37.5614343	126.8556189	4	
37.5609392	126.8556773	5	
37.5607147	126.8555799	6	
37.5605534	126.8551039	7	
37.5606867	126.8548243	8	
37.5626253	126.8525345	1	
37.5579364	126.8613465	1	
37.5577280	126.8611453	4	
37.5574446	126.8617556	3	
37.5573631	126.8624567	2	
37.5515898	126.8641311	1	
37.5512919	126.8637498	8	
37.5508738	126.8639568	7	
37.5506914	126.8643231	6	
37.5508303	126.8646788	5	
37.5497458	126.8676358	3	
37.5496041	126.8672182	4	
37.5471273	126.8741568	1	
37.5471661	126.8748690	2	
37.5468125	126.8747452	3	
37.5468070	126.8741802	4	
37.5438564	126.8835451	3	
37.5445927	126.8825782	1	
37.5439360	126.8827698	2	
37.5381084	126.8936629	1	
37.5379375	126.8935008	8	
37.5381943	126.8940403	2	
37.5376860	126.8936786	7	
37.5376569	126.8939153	6	
37.5376157	126.8941967	5	
37.5377864	126.8942885	4	
37.5379749	126.8941494	3	
37.5343802	126.9018912	1	
37.5346161	126.9022313	2	
37.5354292	126.9028455	3	
37.5353107	126.9031934	4	
37.5344279	126.9026361	5	
37.5341886	126.9024509	6	
37.5291689	126.9175539	1	
37.5215226	126.9237311	1	
37.5219647	126.9234638	2	
